dificuldade,palavra,dica
facil,gato,Animal doméstico que mia
facil,casa,Lugar onde você mora
facil,bola,Brinquedo redondo
facil,sol,Estrela que ilumina o dia
facil,livro,Objeto com páginas para leitura
facil,pato,Animal que faz quac
facil,fogo,Quente e perigoso
facil,sapato,Usado nos pés
facil,nuvem,Fica no céu e pode chover
facil,doce,Comida com muito açúcar
facil,mesa,Móvel com tampo usado para refeições
facil,carro,Veículo de quatro rodas
facil,pente,Usado para arrumar o cabelo
facil,banana,Fruta amarela e curva
facil,leite,Líquido branco que vem da vaca
facil,bola,Brinquedo que rola
facil,rio,Curso de água natural
facil,faca,Usada para cortar
facil,copo,Recipiente para líquidos
facil,dedo,Parte da mão
facil,pipa,Brinquedo de vento
facil,flor,Parte colorida da planta
facil,urso,Animal grande e peludo
facil,rato,Pequeno roedor
facil,panela,Usada para cozinhar
facil,escada,Ajuda a subir lugares altos
facil,tinta,Usada para pintar
facil,anel,Jóia circular para o dedo
facil,papel,Material usado para escrever
facil,vento,Ar em movimento
facil,vaca,Animal que dá leite
facil,luz,Clareia o ambiente
facil,fruta,Alimento doce e natural
facil,areia,Grãos na praia
facil,janela,Abertura na parede
facil,olho,Serve para enxergar
facil,cama,Usada para dormir
facil,bolo,Doce de aniversário
facil,ninho,Casa de pássaros
facil,relógio,Marca o tempo
facil,sapato,Usado no pé
facil,cola,Une coisas
facil,flauta,Instrumento de sopro
facil,natal,Feriado com presentes
facil,vela,Faz luz com fogo
facil,pato,Nada e faz quac
facil,pano,Tecido
facil,gelo,Água congelada
facil,dado,Usado em jogos
facil,pena,Parte da asa de ave
facil,tigre,Grande felino listrado
facil,cachorro,Animal de estimação que late
facil,arvore,Planta grande que tem tronco
facil,estrela,Corpo celeste que brilha
facil,coração,Órgão que bate no peito
facil,chuva,Precipitação de água
facil,mar,Grande corpo de água salgada
facil,ovo,"Produto de aves, geralmente com casca"
facil,chuveiro,Equipamento usado para tomar banho
facil,festa,Evento com comida e diversão
facil,meia,Peça de roupa para os pés
facil,lago,Corpo de água doce cercado por terra
facil,pescador,Pessoa que pesca
facil,brinquedo,Objeto para diversão
facil,arco,"Forma curva, comum em arquitetura"
facil,bicho,"Ser vivo, geralmente pequeno"
facil,piscina,Lugar para nadar
facil,mágico,Pessoa que faz truques
facil,barriga,Parte do corpo onde fica o estômago
facil,sol,Fonte de luz e calor para a Terra
facil,piscina,Estrutura com água para nadar
facil,dente,Parte do corpo usada para mastigar
facil,lua,Satélite natural da Terra
facil,brisa,Vento suave
facil,guarda-chuva,Usado para se proteger da chuva
facil,corpo,Parte física do ser humano ou animal
facil,fada,Ser mágico com poderes especiais
facil,geleia,Doce feito com frutas
facil,marte,Planeta vermelho do sistema solar
facil,caminhão,Veículo grande de carga
facil,mãe,Pessoa que gera e cuida dos filhos
facil,pé,Parte do corpo usada para caminhar
facil,pasta,Material utilizado para guardar documentos
facil,tubarao,Peixe grande e predador
facil,leão,Rei da selva
facil,galo,Animal que canta de manhã
facil,passaro,Animal que voa e tem penas
facil,cavalo,Animal usado para montar
facil,tigre,Grande felino de listras
facil,alegria,Sentimento de felicidade
facil,peixe,Animal aquático com nadadeiras
facil,pinguim,Ave que não voa e vive no frio
facil,caixa,Objeto de armazenamento
facil,banco,Instituição financeira ou assento
medio,espelho,"Reflete, mas não é água"
medio,travesseiro,Usado para dormir
medio,avião,Meio de transporte
medio,planeta,Corpo celeste
medio,janela,Abertura
medio,telefone,Dispositivo eletrônico
medio,viagem,Deslocamento
medio,martelo,Ferramenta
medio,formiga,Inseto
medio,bateria,Fonte de energia ou instrumento
medio,cadeado,Trava
medio,cartucho,Pode ser de tinta ou munição
medio,montanha,Relevo
medio,corrente,Serve para prender ou para usar
medio,grama,Pode cobrir um campo
medio,teclado,Pode ser de computador ou instrumento
medio,pneu,Parte do carro
medio,telhado,Cobre uma casa
medio,cimento,Material de construção
medio,abacaxi,Fruta tropical com casca espinhosa
medio,guarda-roupa,Móvel para guardar roupas
medio,escola,Lugar onde se aprende
medio,garrafa,Recipiente para líquidos
medio,cachoeira,Água caindo de grande altura
medio,computador,Máquina que processa dados
medio,relógio,Marca o tempo
medio,carro,Veículo com rodas
medio,cachorro,Animal de estimação que late
medio,elevador,Equipamento usado para subir ou descer
medio,sombra,Área escura causada pela obstrução da luz
medio,abóbora,Fruto típico do Halloween
medio,moleque,Pessoa jovem e travessa
medio,vassoura,Usado para varrer
medio,cano,Tubulação para transportar água
medio,lâmpada,Fonte de luz elétrica
medio,corrida,Atividade física que envolve velocidade
medio,espada,Arma branca com lâmina longa
medio,cimento,Material usado em construção civil
medio,mestre,Pessoa experiente em algo
medio,guaxinim,Animal de máscara preta e rabos grandes
medio,prédio,Construção de vários andares
medio,fruta,Alimento natural e doce de planta
medio,matemática,Estudo de números e quantidades
medio,ciência,Estudo baseado em experimentação e observação
medio,mistura,Composição de diferentes substâncias
medio,serpente,Animal reptil sem pernas
medio,leopardo,Felino com pelagem manchada
medio,brisa,Vento suave
medio,radiação,Emissão de energia
medio,luz,Radiação visível para os olhos
